Ano Letivo;RA;Fase;Turma;Nome;Idade;Gênero;Ano ingresso;Instituição de ensino;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP;Mat;Por;Ing;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;Atingiu PV;REC AV
2024;RA-1064;2;2N;Aluno-1064;11;Masculino;2023;Pública;Topázio;9;3;9,5;9,7;7,5;8,5;8,8;10;8,8;8;9;8,5;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2024;RA-1181;5;5B;Aluno-1181;15;Feminino;2023;Pública;Agata;6,2;5;9,2;5;6,3;3,8;5,9;10;7,1;1;1;9,5;Fase 5 ;0;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2024;RA-1030;2;2D;Aluno-1030;12;Masculino;2023;Pública;Ametista;7,7;3;7,4;8,3;4,4;8;7,6;10;7,8;10;6;8;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2024;RA-1273;8;8E;Aluno-1273;18;Feminino;2023;Privada *Parcerias com Bolsa 100%;Quartzo;3,7;0;6,8;0;0;6,4;3,7;10;2,5;6,2;6,4;6,6;Fase 8 ;0;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Alocado fase anterior
2023;RA-971;0;ALFA R - G0/G1;Aluno-971;12;Masculino;2023;Pública;Ametista;7;2;7,8;6,4;3,8;6,9;8,2;10;5,6;5,5;8,3;6,9;Fase 0 ;0;Melhorar entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1196;5;5B;Aluno-1196;15;Masculino;2023;Privada;Ametista;7;4;0;8,2;5;7,5;8;10;7,8;8;6,2;8,3;Fase 5 ;0;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2024;RA-895;0;ALFA B - G2/G3;Aluno-895;9;Feminino;2023;Pública;Topázio;8,3;3;9,5;9,5;6,3;9,5;8,1;5;7,5;10;9;9,5;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido com bolsa
2024;RA-884;0;ALFA B - G2/G3;Aluno-884;8;Feminino;2023;Pública;Topázio;8;3;10;8,8;6,3;8,8;8,2;5;7,5;10;7,5;8,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-912;0;ALFA G - G2/G3;Aluno-912;9;Feminino;2023;Pública;Ametista;7,1;2;7;9,4;7,5;6,3;7,2;5;5,6;6,2;6,3;6,4;Fase 1 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2024;RA-889;0;ALFA B - G2/G3;Aluno-889;9;Masculino;2023;Pública;Topázio;8,2;3;8,5;9,3;6,3;9,8;8,3;5;7,5;10;9,5;9,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido com bolsa
2024;RA-867;0;ALFA B - G2/G3;Aluno-867;9;Masculino;2023;Pública;Ametista;7,6;3;9;7,4;7,5;8,5;7,5;5;7,5;10;7;8,5;Fase 1 ;-1;Melhorar entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1125;2;2M;Aluno-1125;12;Feminino;2023;Pública;Agata;6,7;3;4,7;7,9;7,5;4;7;10;6,7;1;7;4;Fase 2 ;0;Boa entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-1124;2;2M;Aluno-1124;14;Feminino;2023;Pública;Agata;6,7;3;9,5;8;7,5;3;7,8;5;7,1;1;5;3;Fase 4 ;-2;Boa entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2024;RA-891;0;ALFA B - G2/G3;Aluno-891;10;Feminino;2023;Pública;Topázio;8;3;10;9;6,3;8,8;8;5;7,5;10;7,5;8,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1123;2;2L;Aluno-1123;12;Masculino;2023;Pública;Agata;7;3;7,3;8,9;7,5;5,3;7,1;5;7,1;3,8;6,8;5,3;Fase 3 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1122;2;2L;Aluno-1122;11;Masculino;2023;Pública;Ametista;7,4;3;0;9,3;6,9;6,9;8,6;10;7,3;5,2;8,5;7;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2024;RA-1012;0;ALFA C - G0/G1;Aluno-1012;9;Feminino;2023;Pública;Topázio;8,1;3;9,5;9,5;2,5;9,8;8,4;5;8,1;10;9,5;9,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Sim;Promovido fase
2023;RA-1121;2;2L;Aluno-1121;12;Masculino;2023;Pública;Topázio;8;3;0;9,9;6,3;8;9,8;10;8,8;6,5;9,5;8;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido fase
2023;RA-1126;2;2M;Aluno-1126;12;Feminino;2023;Pública;Quartzo;4,9;3;0;5,2;3,8;5,7;7,1;5;7,3;6,2;6,4;6,6;Fase 3 ;-1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter fase atual
2023;RA-1120;2;2L;Aluno-1120;11;Feminino;2023;Pública;Topázio;9,1;3;9,5;9,6;7,5;8,3;9,7;10;9;7,3;9,2;8,4;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2023;RA-913;0;ALFA H - G0/G1;Aluno-913;12;Feminino;2023;Pública;Ametista;7,7;2;8;8,5;6,9;7,9;9,2;5;6,2;9,5;6,3;7,9;Fase 2 ;-2;Boa entrega;Boas notas;Boa integração;Sim;Promovido fase
2024;RA-885;0;ALFA D - G2/G3;Aluno-885;9;Masculino;2023;Pública;Topázio;8,2;3;8,5;10;7,5;8,5;8,3;5;7,5;10;7;8,5;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido com bolsa
2023;RA-1118;2;2K;Aluno-1118;12;Feminino;2023;Pública;Ametista;7,2;3;5,3;8,8;7,5;6;8,3;5;7,7;4,8;7,2;6;Fase 3 ;-1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
